title,location,precio,basic_features,extra_features
Piso en venta en calle Enriqueta Elizaicin,Babel,295000,"['130 m² construidos, 102 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 2009', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 8ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Consumo:', 'Emisiones:']"
Piso en venta en avenida Oscar Espla,Benalúa,325000,"['170 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 1983', 'Calefacción individual: Eléctrica', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Consumo: \n159 kWh/m² año', 'Emisiones: \n28 kg CO2/m² año']"
Piso en venta en calle Lafora,La Florida,110000,"['120 m² construidos, 110 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1986', 'Planta 2ª exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Lafora,La Florida,120000,"['120 m² construidos, 110 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1986', 'No dispone de calefacción', 'Planta 1ª exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Urb. C/ Astrónomo Comas Sola,Benalúa-La Florida-Babel-San Gabriel,148400,"['120 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Planta 5ª', 'Con ascensor']",['Consumo: \n139 kWh/m² año']
Piso en venta en pasaje Miralmar,Benalúa,90000,"['80 m² construidos, 60 m² útiles', '2 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Orientación este, oeste', 'Construido en 1965', 'Calefacción central', 'Planta 3ª exterior', 'Sin ascensor']","['Consumo:', 'Emisiones:']"
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,264000,"['172 m² construidos, 171 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Construido en 1986', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en calle Ana Navarro,La Florida,165500,"['108 m² construidos, 76 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1992', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle Boyero,La Florida,130900,"['118 m² construidos, 97 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Calefacción individual: Eléctrica', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:']"
Piso en venta en calle Republica Argentina,La Florida,146050,"['103 m² construidos, 86 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 1986', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'En trámite']"
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,330000,"['125 m² construidos, 89 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1989', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en avenida José María Hernández Mata,La Florida,166500,"['115 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1989', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo: \n29 kWh/m² año', 'Emisiones: \n12 kg CO2/m² año']"
Piso en venta en calle Alona,Benalúa,145000,"['145 m² construidos, 130 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1964', 'Calefacción individual: Bomba de frío/calor', 'Planta 5ª exterior']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en La Florida,Benalúa-La Florida-Babel-San Gabriel,139000,"['120 m² construidos, 100 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Playa de la Regla,Chipiona,200000,"['100 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Construido en 1990', 'No dispone de calefacción', 'Planta 1ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,159900,"['135 m² construidos, 121 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1977', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
